Size	P1	P2	P3	P4
1000	17118.07	169.6	156.175	133.86	
2000	104.905	58.02	80.345	55.795	
3000	33.455	51.325	40.155	71.395	
4000	51.325	53.56	75.87	57.995	
5000	51.31	58.02	26.765	58.01	
6000	35.7	37.925	42.4	29.005	
7000	44.62	60.26	49.08	26.795	
8000	37.925	60.24	49.085	35.69	
9000	71.39	31.26	42.375	37.935	
10000	33.465	51.325	29.005	42.39	
11000	44.61	44.625	113.785	58.01	
12000	33.465	55.805	55.79	58.015	
13000	53.55	57.995	44.625	49.1	
14000	40.15	66.935	49.11	44.615	
15000	55.76	53.54	29.01	49.1	
16000	35.695	55.77	31.25	44.625	
17000	49.085	58.03	49.1	55.77	
18000	31.225	220.89	60.235	42.395	
19000	37.945	71.405	53.545	42.385	
20000	31.235	26.765	44.63	37.935	
21000	60.245	71.4	24.54	33.47	
22000	44.605	60.235	24.555	62.465	
23000	40.155	75.855	37.93	40.16	
24000	44.61	51.32	46.85	55.78	
25000	24.545	55.77	49.08	57.995	
26000	49.065	60.245	35.705	35.7	
27000	46.85	62.485	26.77	53.545	
28000	37.925	75.89	37.915	53.535	
29000	35.71	55.8	29.0	42.39	
30000	49.105	60.25	35.7	51.33	
31000	40.16	58.0	44.625	51.31	
32000	40.175	60.24	35.7	189.665	
33000	60.265	55.79	46.855	31.235	
34000	60.24	60.245	28.995	31.24	
35000	60.28	62.485	42.395	46.845	
36000	33.46	51.3	58.02	42.4	
37000	58.005	55.79	31.23	42.39	
38000	53.56	44.615	44.635	24.55	
39000	55.79	62.49	60.255	44.625	
40000	51.305	53.545	44.635	44.63	
41000	62.48	58.005	40.165	26.77	
42000	44.63	49.08	35.705	37.94	
43000	46.85	69.155	51.345	35.69	
44000	62.48	53.555	51.335	44.605	
45000	53.555	69.195	40.165	44.61	
46000	66.93	73.64	40.165	51.3	
47000	46.86	84.785	44.635	35.71	
48000	64.71	69.175	35.725	37.935	
49000	58.015	40.155	42.39	40.155	
50000	49.09	55.76	51.315	33.465	
